OBJECTID,SUM_CAPACI,MEAN_LANE_,MIN_LANE_C,MAX_LANE_C,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,fromnode_id,tonode_id,Shape_Leng,edge_id
1,18.28129959,2,2,2,0.06647667,0.093953353,0.112846435,0.124927043,0.129486355,0.125553366,0.113844282,0.089163032,0.078088593,0.063206619,0.04876657,0.035233196,0.024471665,0.017084571,0.01161752,0.007405869,0.004505652,0.002739566,0.001377928,0.000755813,0.00032632,0.000149535,0,0,0,88,87,4292.213822,1
2,24.23830032,2,2,2,2.774054179,3.612380931,4.125427536,4.385240247,4.382996262,4.106939242,3.596347511,2.721976953,2.297757958,1.78591817,1.316534011,0.902645614,0.592085028,0.389151837,0.24729019,0.14569224,0.081079566,0.04480717,0.019494779,0.009421346,0.003123278,0,0,0,0,101,105,7135.181608,2
3,98.20210266,2,2,2,2.073735192,2.669909619,3.026227397,3.196370493,3.175824108,2.958816176,2.575040671,1.936092314,1.623778838,1.252504104,0.915048432,0.620263509,0.401588841,0.260402408,0.16285489,0.094070899,0.051124255,0.027519881,0.011450987,0.005347527,0.001603167,0,0,0,0,100,112,15245.15921,3
4,78.58779907,2,2,2,0.915007474,1.793312075,2.500814139,3.068488344,3.454150034,3.600380556,3.487974065,2.881398189,2.704537815,2.344786912,1.942176957,1.50209514,1.116699874,0.840595042,0.617289748,0.426302642,0.280862185,0.184318652,0.103042534,0.062327623,0.031576443,0.016586003,0.008358314,0,0,37,45,19002.1235,4
5,78.58779907,2,2,2,1.660526493,3.115788543,4.275635984,5.194072139,5.803404702,6.011430459,5.792469984,4.766648801,4.449064317,3.836954827,3.16151877,2.434151277,1.801959831,1.349800178,0.986594345,0.678264835,0.445070026,0.291138611,0.161984034,0.097566304,0.049068436,0.025611967,0.012916096,0,0,45,46,861.7991426,5
6,137.6440202,2.2,1,4,6632.39693,7586.649948,7880.239188,7696.350345,7088.75819,6122.789948,4906.73726,3369.69104,2585.220915,1792.892485,1152.657329,661.9390845,352.8610448,186.0705993,90.2418388,36.7569564,12.59774085,0,0,0,0,0,0,0,1.94008495,199,200,15907.11003,6
7,94.35052064,1.736842105,1,2,346.610491,414.4023986,445.5289946,449.5478736,427.9945394,382.3610124,319.0484862,230.4959958,184.5611995,135.4741304,93.82339414,60.29613573,36.98188519,22.5694369,13.2648112,7.179116997,3.664874337,1.864042139,0.702474897,0.310330914,0,0,0,0,0,234,240,36441.26642,7
8,79.96921007,1.52,1,2,408.574725,494.569666,536.6771605,545.899011,523.5959628,471.2201543,395.7949313,287.2903463,231.799424,171.3168835,119.3345107,76.78554385,47.01919945,28.69372223,16.79255978,8.989027075,4.497139175,2.228236225,0.790273125,0,0,0,0,0,0,191,193,28846.39717,8
9,333.1163438,1.596491228,1,4,5094.689586,5984.144911,6346.992527,6323.661177,5944.233881,5242.020953,4307.525886,3053.373688,2405.296171,1728.454863,1164.932208,720.3064496,421.7259301,245.268782,135.7479479,67.80642264,31.27759399,14.30180934,4.075531607,0,0,0,0,0,0,224,219,85448.93985,9
10,263.0202798,2.054054054,1,5,5176.227066,6147.189591,6575.488277,6601.895041,6252.102401,5555.163401,4600.693053,3287.22241,2612.161548,1895.500169,1291.551676,807.976013,478.9343079,282.3949925,158.6186249,80.55750983,37.797087,17.53501658,5.22179781,0,0,0,0,0,0,202,174,118349.0959,10
11,17.87589635,2.153846154,1,4,3732.902636,4612.722098,5081.986446,5236.612299,5081.910568,4627.081217,3925.729878,2868.633466,2342.411408,1749.213705,1228.540464,789.671447,480.2837052,291.9285897,168.6539819,87.81884116,41.8138263,19.42927117,5.804020469,0,0,0,0,0,0,108,116,6485.550829,11
12,17.58522089,1.476190476,1,3,2788.209835,3452.860711,3809.974921,3931.378191,3820.525265,3483.318096,2960.272232,2167.751164,1773.077155,1327.077452,934.8791298,603.8260276,369.4806314,225.957892,131.5999556,69.31742664,33.5371475,15.86598598,4.998820239,0,0,0,0,0,0,110,114,11387.58466,12
13,80.73116269,1.818181818,1,4,69.25662359,125.6143412,170.2290835,205.1167284,227.6735767,234.5794785,224.5774214,183.3811791,170.196346,145.6814654,118.8597297,90.03663134,65.34481831,48.02584939,34.25937445,22.83888834,14.40987277,8.981435804,4.709069772,2.673969276,1.244339074,0.597042028,0,0,0,30,31,20356.22713,13
14,295.7793304,1.52,1,2,135.3940614,232.6638793,308.298964,366.078291,401.7544248,409.9392366,389.0757091,315.5708048,290.2448729,246.2521736,199.0991372,149.5372527,107.6110066,78.34752391,55.35696276,36.5350019,22.82181805,14.09295193,7.287016944,4.08743624,1.861019256,0.875750921,0,0,0,38,30,78402.14496,14
15,5.73398678,1.5,1,2,19.71033619,25.41252488,28.82790843,30.48031515,30.32692779,28.29519472,24.69942982,18.67784169,15.70689576,12.17838686,8.969734856,6.173579252,4.076688924,2.694236792,1.728354772,1.033821152,0.588385152,0.334477528,0.152406648,0.076497732,0.027824572,0,0,0,0,143,144,1087.157109,15
16,48.28439111,1.6,1,2,11.71188896,15.36017379,17.62194471,18.80748681,18.87331462,17.7535911,15.62568562,11.90966833,10.10437935,7.90969632,5.88699745,4.09739922,2.73775906,1.83255081,1.19178992,0.72377254,0.41861141,0.24189564,0.11299463,0.05796585,0.02207915,0,0,0,0,119,124,18238.65799,16
17,104.9561534,1.8,1,2,1.53980493,1.96824001,2.21978964,2.33580016,2.3141757,2.1503844,1.87034196,1.4107628,1.18156962,0.91278883,0.67012023,0.46052866,0.3039562,0.20062966,0.12871434,0.07714131,0.04410242,0.02523635,0.01162654,0.00588815,0.00218753,0,0,0,0,163,162,24107.40652,17
18,84.86723422,1.740740741,1,3,536.3646437,647.0439802,700.4716812,710.5717321,679.2425689,609.2562199,508.4915667,364.8937921,292.7813442,214.0801286,146.5721666,91.05537035,53.19098647,30.98835425,16.98231479,8.224677738,3.552421536,1.533497022,0,0,0,0,0,0,0,123,137,39961.8363,18
19,94.24445517,1.6,1,2,479.3450915,550.2310945,573.1126965,561.2666575,518.440958,449.09328,361.2643341,249.3820364,192.0524686,133.936148,86.79635915,50.57853515,27.4971039,14.79637773,7.39040038,3.168328505,1.176963565,0,0,0,0,0,0,0,0.292855995,220,212,36757.71654,19
20,19.73040588,1.545454545,1,2,220.3854563,256.4899118,270.1071408,267.2496409,249.3859272,218.294724,177.6326431,124.2092585,96.87374876,68.60348726,45.29564265,27.04538944,15.13386095,8.402479118,4.364267446,1.979309068,0.794022383,0,0,0,0,0,0,0,0.269897936,197,205,10425.19872,20
21,346.5361761,1.677419355,1,2,975.3016935,1074.428568,1081.523576,1025.3968,916.8728125,767.736922,595.3433344,394.7696575,291.6172607,193.553362,118.2585377,64.26363026,32.26472848,15.86516137,7.1186633,2.634465622,0.826476244,0,0,0,0,0,0,0,0.091714864,301,308,71918.21192,21
22,124.5400852,2.5,2,4,1098.032814,1288.153113,1364.978789,1358.608903,1275.632415,1123.609085,921.5765992,651.2469256,512.078212,366.8300212,246.0496685,150.7861281,87.24279459,50.1330391,27.2868058,13.28970023,5.913493222,2.61119061,0.633531458,0,0,0,0,0,0,230,215,40218.29844,22
23,32.60344459,1.6,1,2,1394.641341,1662.289429,1783.124214,1794.4639,1702.76319,1515.968368,1256.890353,897.5275534,714.4082355,518.5763481,352.8353769,219.1651405,128.5024483,74.99736582,41.44124455,20.47881457,9.20861733,4.084567,1.0043998,0,0,0,0,0,0,157,171,13230.42377,23
