node_id,Cnt_node_i,Sum_VEH,Sum_d1,Sum_d2,Sum_d3,Sum_d4,Sum_d5,Sum_d6,Sum_d7,Sum_d8,Sum_d9,Sum_d10,Sum_d11,Sum_d12,Sum_d13,Sum_d14,Sum_d15,Sum_d16,Sum_d17,Sum_d18,Sum_d19,Sum_d20,Sum_d21,Sum_d22,Sum_d23,Sum_d24,Sum_d25,x,y
1,2,51691,269.0725118,1638.970771,2840.852808,3905.650245,4751.656587,5267.261184,5368.196577,4588.223355,4537.150155,4126.563729,3582.46691,2880.859324,2220.879384,1743.899493,1332.651637,956.397394,651.6509639,438.4799911,255.4023415,159.8626681,86.36122904,47.93504034,25.44148862,11.18165859,0,-93926.9096,3375960.432
2,2,23378,103.9782585,721.9604805,1265.128448,1747.69549,2132.768548,2369.248229,2419.727362,2072.032543,2052.604488,1870.566787,1627.793472,1313.818324,1017.218762,802.112089,616.2007292,445.060035,305.6780895,207.7682081,122.3337328,77.45715893,42.36130176,23.84497983,12.85914773,5.781594305,0,-91292.3008,3401368.089
3,4,5419,11.11756433,153.8950452,280.3162443,393.6580587,485.2969097,543.0776164,558.1352849,480.125965,478.4394569,438.5268536,383.9632354,312.1102114,243.5156353,193.5542417,150.0497202,109.50146,76.11109053,52.45131667,31.3761202,20.18957748,11.25581796,6.468412685,3.572614233,1.662933016,0,-86741.3586,3424574.445
4,3,10355,89.95558068,364.1647033,601.747434,809.300706,970.9060731,1064.893763,1076.105777,914.6857299,896.7518143,809.2451657,697.1612887,556.9890661,426.7435504,332.7301187,252.5367403,180.0058389,121.8745353,81.58493348,47.13638542,29.3011591,15.63929358,8.586470816,4.496815723,1.939667528,0,-84073.2807,3390761.03
5,3,6252,43.49535309,208.7090504,352.6281012,479.2200342,578.8071224,638.0215924,647.5993414,552.3505397,543.7725326,492.7595816,426.4394263,342.5779098,264.0650261,207.1671947,158.3702329,113.8266797,77.82425016,52.69915089,30.85189377,19.4380491,10.54193726,5.889015427,3.146379372,1.397226694,0,-80393.3012,3409765.351
7,2,992,6.447730516,32.60163356,55.40410971,75.49470083,91.34257309,100.8085517,102.4569992,87.50503728,86.23732774,78.24966334,67.83196619,54.64905527,42.27064767,33.27255935,25.54397404,18.45602005,12.70282642,8.674845716,5.125246605,3.26060963,1.78713376,1.010455106,0.547297071,0.248406121,0,-76597.7494,3435574.013
9,1,2264,19.53432698,79.38560306,131.2233903,176.5142479,211.7929778,232.3013046,234.8146834,199.7030455,195.801547,176.7526629,152.3650142,121.9279199,93.61287075,73.12817309,55.6498732,39.80186502,27.07065623,18.23122482,10.5997742,6.634077141,3.565557352,1.973694855,1.043260353,0.45743499,0,-72017.5252,3402546.415
10,3,9730,99.76272457,357.3394786,579.2596217,771.881694,920.4349051,1004.873306,1011.603492,857.6533568,837.6287192,753.2178429,646.5965271,514.9307223,393.2736728,305.5515474,231.0820797,164.1026131,110.695098,73.8430145,42.45572217,26.27404457,13.92769725,7.596335888,3.947049161,1.691264379,0,-67741.1653,3384000.993
11,1,386,3.703205782,13.90028307,22.69998728,30.35755987,36.28759483,39.68575762,40.02284805,33.98934152,33.24628402,29.9484542,25.76405307,20.58610827,15.78444176,12.3104716,9.354932436,6.682419968,4.540840487,3.057142201,1.77563112,1.110616362,0.595760035,0.32932108,0.173766837,0.076434228,0,-61057.4066,3407512.172
12,1,2225,22.95216562,81.60716979,132.0606596,175.8276792,209.572115,228.674755,230.2509893,195.4105723,190.7924424,171.6286654,147.4911348,117.8690319,90.44180764,70.55944581,53.6786823,38.41591526,26.18548333,17.71360137,10.33555516,6.498593084,3.502159801,1.94763524,1.034594341,0.465972524,0,-39949.0355,3415581
